CSAFP,CBSAFP,GEOID,NAME,NAMELSAD,LSAD,MEMI,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON
380,19300,19300,"Daphne-Fairhope-Foley, AL","Daphne-Fairhope-Foley, AL Metro Area",M1,1,G3110,4117656199.000000000000000,1132956041.000000000000000,+30.6592183,-087.7460666
209,19340,19340,"Davenport-Moline-Rock Island, IA-IL","Davenport-Moline-Rock Island, IA-IL Metro Area",M1,1,G3110,5878996927.000000000000000,114047038.000000000000000,+41.3916799,-090.4600760
174,19420,19420,"Dayton, TN","Dayton, TN Micro Area",M2,2,G3110,817071273.000000000000000,54409427.000000000000000,+35.6005900,-084.9495484
212,19430,19430,"Dayton-Kettering, OH","Dayton-Kettering, OH Metro Area",M1,1,G3110,3318889605.000000000000000,22221073.000000000000000,+39.8297456,-084.1409921
290,19460,19460,"Decatur, AL","Decatur, AL Metro Area",M1,1,G3110,3290201795.000000000000000,118878930.000000000000000,+34.4893614,-087.0971469
 ,19500,19500,"Decatur, IL","Decatur, IL Metro Area",M1,1,G3110,1503684112.000000000000000,13406665.000000000000000,+39.8602372,-088.9615288
258,19540,19540,"Decatur, IN","Decatur, IN Micro Area",M2,2,G3110,877815496.000000000000000,2693924.000000000000000,+40.7457327,-084.9361303
 ,19580,19580,"Defiance, OH","Defiance, OH Micro Area",M2,2,G3110,1065649888.000000000000000,7073996.000000000000000,+41.3216789,-084.4864334
 ,19620,19620,"Del Rio, TX","Del Rio, TX Micro Area",M2,2,G3110,8144863966.000000000000000,227711025.000000000000000,+29.8752853,-101.1433237
422,19660,19660,"Deltona-Daytona Beach-Ormond Beach, FL","Deltona-Daytona Beach-Ormond Beach, FL Metro Area",M1,1,G3110,4111640078.000000000000000,1076794716.000000000000000,+29.1789002,-081.1890231
 ,19700,19700,"Deming, NM","Deming, NM Micro Area",M2,2,G3110,7679776933.000000000000000,433660.000000000000000,+32.1845231,-107.7471911
216,19740,19740,"Denver-Aurora-Lakewood, CO","Denver-Aurora-Lakewood, CO Metro Area",M1,1,G3110,21612689146.000000000000000,149327689.000000000000000,+39.4347890,-104.9010728
217,19760,19760,"DeRidder, LA","DeRidder, LA Micro Area",M2,2,G3110,2997852789.000000000000000,21944259.000000000000000,+30.6450184,-093.3402526
218,19780,19780,"Des Moines-West Des Moines, IA","Des Moines-West Des Moines, IA Metro Area",M1,1,G3110,9355995538.000000000000000,83631550.000000000000000,+41.5770501,-093.7597124
220,19820,19820,"Detroit-Warren-Dearborn, MI","Detroit-Warren-Dearborn, MI Metro Area",M1,1,G3110,10080843762.000000000000000,889464901.000000000000000,+42.7218478,-083.2008463
 ,19860,19860,"Dickinson, ND","Dickinson, ND Micro Area",M2,2,G3110,6431980204.000000000000000,26010402.000000000000000,+46.9125835,-102.9884867
221,19940,19940,"Dixon, IL","Dixon, IL Micro Area",M2,2,G3110,1877189070.000000000000000,9732924.000000000000000,+41.7474465,-089.2993616
 ,19980,19980,"Dodge City, KS","Dodge City, KS Micro Area",M2,2,G3110,2844508242.000000000000000,2097356.000000000000000,+37.6884159,-099.8847484
222,20020,20020,"Dothan, AL","Dothan, AL Metro Area",M1,1,G3110,4444610313.000000000000000,33316633.000000000000000,+31.2455283,-085.4691904
 ,20060,20060,"Douglas, GA","Douglas, GA Micro Area",M2,2,G3110,2421608804.000000000000000,31585768.000000000000000,+31.4595406,-082.8673266
428,20100,20100,"Dover, DE","Dover, DE Metro Area",M1,1,G3110,1517891095.000000000000000,549776917.000000000000000,+39.0970884,-075.5029819
 ,20140,20140,"Dublin, GA","Dublin, GA Micro Area",M2,2,G3110,3392329367.000000000000000,45906009.000000000000000,+32.5089403,-082.8100132
524,20180,20180,"DuBois, PA","DuBois, PA Micro Area",M2,2,G3110,2966379119.000000000000000,23934013.000000000000000,+41.0068618,-078.4777237
 ,20220,20220,"Dubuque, IA","Dubuque, IA Metro Area",M1,1,G3110,1575487976.000000000000000,21138781.000000000000000,+42.4634808,-090.8787708
 ,20260,20260,"Duluth, MN-WI","Duluth, MN-WI Metro Area",M1,1,G3110,27252221889.000000000000000,4360911130.000000000000000,+47.3475030,-092.1553352
 ,20300,20300,"Dumas, TX","Dumas, TX Micro Area",M2,2,G3110,2330207191.000000000000000,25699789.000000000000000,+35.8356759,-101.8905018
 ,20340,20340,"Duncan, OK","Duncan, OK Micro Area",M2,2,G3110,2253830200.000000000000000,54833890.000000000000000,+34.4813609,-097.8556068
 ,20420,20420,"Durango, CO","Durango, CO Micro Area",M2,2,G3110,4376255276.000000000000000,25642579.000000000000000,+37.2873673,-107.8397178
206,20460,20460,"Durant, OK","Durant, OK Micro Area",M2,2,G3110,2342004162.000000000000000,102054905.000000000000000,+33.9640035,-096.2651348
450,20500,20500,"Durham-Chapel Hill, NC","Durham-Chapel Hill, NC Metro Area",M1,1,G3110,5931314685.000000000000000,154463844.000000000000000,+36.0605886,-078.9897875
 ,20540,20540,"Dyersburg, TN","Dyersburg, TN Micro Area",M2,2,G3110,1326982067.000000000000000,35839863.000000000000000,+36.0541960,-089.3983058
 ,20580,20580,"Eagle Pass, TX","Eagle Pass, TX Micro Area",M2,2,G3110,3313818748.000000000000000,31872416.000000000000000,+28.7297873,-100.3166780
548,20660,20660,"Easton, MD","Easton, MD Micro Area",M2,2,G3110,695561637.000000000000000,539363457.000000000000000,+38.7483486,-076.1784757
408,20700,20700,"East Stroudsburg, PA","East Stroudsburg, PA Metro Area",M1,1,G3110,1575636945.000000000000000,22673964.000000000000000,+41.0562401,-075.3290651
232,20740,20740,"Eau Claire, WI","Eau Claire, WI Metro Area",M1,1,G3110,4263839734.000000000000000,104081854.000000000000000,+44.9386719,-091.2843222
233,20780,20780,"Edwards, CO","Edwards, CO Micro Area",M2,2,G3110,4362754513.000000000000000,18970351.000000000000000,+39.6269919,-106.6951694
 ,20820,20820,"Effingham, IL","Effingham, IL Micro Area",M2,2,G3110,1240005834.000000000000000,3174583.000000000000000,+39.0479445,-088.5928488
288,20900,20900,"El Campo, TX","El Campo, TX Micro Area",M2,2,G3110,2813095080.000000000000000,21310003.000000000000000,+29.2784805,-096.2296745
 ,20940,20940,"El Centro, CA","El Centro, CA Metro Area",M1,1,G3110,10814595262.000000000000000,790216761.000000000000000,+33.0408143,-115.3554001
 ,20980,20980,"El Dorado, AR","El Dorado, AR Micro Area",M2,2,G3110,2691171273.000000000000000,42102269.000000000000000,+33.1682186,-092.5981447
545,21020,21020,"Elizabeth City, NC","Elizabeth City, NC Micro Area",M2,2,G3110,1227796451.000000000000000,373494339.000000000000000,+36.1971176,-076.3424396
350,21060,21060,"Elizabethtown-Fort Knox, KY","Elizabethtown-Fort Knox, KY Metro Area",M1,1,G3110,3083099345.000000000000000,71933270.000000000000000,+37.7329803,-085.9721707
 ,21120,21120,"Elk City, OK","Elk City, OK Micro Area",M2,2,G3110,2335328724.000000000000000,5521744.000000000000000,+35.2706008,-099.6900574
515,21140,21140,"Elkhart-Goshen, IN","Elkhart-Goshen, IN Metro Area",M1,1,G3110,1199580232.000000000000000,12457801.000000000000000,+41.6006928,-085.8639864
 ,21180,21180,"Elkins, WV","Elkins, WV Micro Area",M2,2,G3110,2692810850.000000000000000,667359.000000000000000,+38.7810953,-079.8677881
 ,21220,21220,"Elko, NV","Elko, NV Micro Area",M2,2,G3110,55294001731.000000000000000,85843260.000000000000000,+40.9060857,-115.5545775
 ,21260,21260,"Ellensburg, WA","Ellensburg, WA Micro Area",M2,2,G3110,5949926850.000000000000000,92486168.000000000000000,+47.1244411,-120.6767092
236,21300,21300,"Elmira, NY","Elmira, NY Metro Area",M1,1,G3110,1054988422.000000000000000,8875327.000000000000000,+42.1486972,-076.7524712
238,21340,21340,"El Paso, TX","El Paso, TX Metro Area",M1,1,G3110,14461869807.000000000000000,7512086.000000000000000,+31.5273940,-105.5213326
 ,21380,21380,"Emporia, KS","Emporia, KS Micro Area",M2,2,G3110,4197156992.000000000000000,32652918.000000000000000,+38.3821338,-096.3593009
 ,21420,21420,"Enid, OK","Enid, OK Metro Area",M1,1,G3110,2741521323.000000000000000,4075930.000000000000000,+36.3781319,-097.7887411
 ,21460,21460,"Enterprise, AL","Enterprise, AL Micro Area",M2,2,G3110,1758565928.000000000000000,3907189.000000000000000,+31.4022580,-085.9896022
240,21500,21500,"Erie, PA","Erie, PA Metro Area",M1,1,G3110,2069174742.000000000000000,1966242081.000000000000000,+42.1179519,-080.0963858
 ,21540,21540,"Escanaba, MI","Escanaba, MI Micro Area",M2,2,G3110,3033137846.000000000000000,2124389420.000000000000000,+45.8052288,-086.9019375
106,21580,21580,"Española, NM","Española, NM Micro Area",M2,2,G3110,15179593238.000000000000000,91463246.000000000000000,+36.5096687,-106.6939829
 ,21640,21640,"Eufaula, AL-GA","Eufaula, AL-GA Micro Area",M2,2,G3110,2683863225.000000000000000,74681508.000000000000000,+31.8672807,-085.3350319
 ,21660,21660,"Eugene-Springfield, OR","Eugene-Springfield, OR Metro Area",M1,1,G3110,11795042046.000000000000000,436061004.000000000000000,+43.9283337,-122.8975806
 ,21700,21700,"Eureka-Arcata, CA","Eureka-Arcata, CA Micro Area",M2,2,G3110,9241565229.000000000000000,1253726036.000000000000000,+40.7066554,-123.9261757
 ,21740,21740,"Evanston, WY","Evanston, WY Micro Area",M2,2,G3110,5391631765.000000000000000,16625817.000000000000000,+41.2847255,-110.5589468
 ,21780,21780,"Evansville, IN-KY","Evansville, IN-KY Metro Area",M1,1,G3110,3791627452.000000000000000,127235950.000000000000000,+38.0200703,-087.5861659
 ,21820,21820,"Fairbanks, AK","Fairbanks, AK Metro Area",M1,1,G3110,18997068212.000000000000000,259343323.000000000000000,+64.6760436,-146.5481586
 ,21840,21840,"Fairfield, IA","Fairfield, IA Micro Area",M2,2,G3110,1128002393.000000000000000,3522238.000000000000000,+41.0063762,-091.9666277
 ,21860,21860,"Fairmont, MN","Fairmont, MN Micro Area",M2,2,G3110,1844928076.000000000000000,44669373.000000000000000,+43.6771732,-094.5470963
390,21900,21900,"Fairmont, WV","Fairmont, WV Micro Area",M2,2,G3110,799667746.000000000000000,7160908.000000000000000,+39.5058387,-080.2434018
 ,21980,21980,"Fallon, NV","Fallon, NV Micro Area",M2,2,G3110,12820847811.000000000000000,190742991.000000000000000,+39.5377097,-118.2641661
244,22020,22020,"Fargo, ND-MN","Fargo, ND-MN Metro Area",M1,1,G3110,7278152555.000000000000000,26752592.000000000000000,+46.9148591,-096.9601826
378,22060,22060,"Faribault-Northfield, MN","Faribault-Northfield, MN Micro Area",M2,2,G3110,1284218947.000000000000000,52062452.000000000000000,+44.3507747,-093.2985130
476,22100,22100,"Farmington, MO","Farmington, MO Micro Area",M2,2,G3110,1170380017.000000000000000,7218075.000000000000000,+37.8107068,-090.4738684
 ,22140,22140,"Farmington, NM","Farmington, NM Metro Area",M1,1,G3110,14289563220.000000000000000,54895407.000000000000000,+36.5116245,-108.3245778
246,22180,22180,"Fayetteville, NC","Fayetteville, NC Metro Area",M1,1,G3110,4241474824.000000000000000,35580114.000000000000000,+35.1559864,-078.9318502
161,15460,15460,"Burlington, IA-IL","Burlington, IA-IL Micro Area",M2,2,G3110,2058837171.000000000000000,77908726.000000000000000,+40.8638225,-091.0699761
268,15500,15500,"Burlington, NC","Burlington, NC Metro Area",M1,1,G3110,1096735775.000000000000000,27940817.000000000000000,+36.0439535,-079.4005733
162,15540,15540,"Burlington-South Burlington, VT","Burlington-South Burlington, VT Metro Area",M1,1,G3110,3236782446.000000000000000,656637313.000000000000000,+44.6891168,-073.0411707
 ,15580,15580,"Butte-Silver Bow, MT","Butte-Silver Bow, MT Micro Area",M2,2,G3110,1859568271.000000000000000,1518178.000000000000000,+45.8962319,-112.6600714
 ,15620,15620,"Cadillac, MI","Cadillac, MI Micro Area",M2,2,G3110,2925942347.000000000000000,50770824.000000000000000,+44.3287385,-085.3264287
174,15660,15660,"Calhoun, GA","Calhoun, GA Micro Area",M2,2,G3110,923182601.000000000000000,5729235.000000000000000,+34.5096669,-084.8738622
548,15680,15680,"California-Lexington Park, MD","California-Lexington Park, MD Metro Area",M1,1,G3110,928809939.000000000000000,1050592561.000000000000000,+38.2230765,-076.5344870
480,15700,15700,"Cambridge, MD","Cambridge, MD Micro Area",M2,2,G3110,1400573746.000000000000000,1145353068.000000000000000,+38.4291957,-076.0474333
198,15740,15740,"Cambridge, OH","Cambridge, OH Micro Area",M2,2,G3110,1352631217.000000000000000,15666081.000000000000000,+40.0566648,-081.4978750
 ,15780,15780,"Camden, AR","Camden, AR Micro Area",M2,2,G3110,3525806334.000000000000000,28071065.000000000000000,+33.5675127,-092.7082175
 ,15820,15820,"Campbellsville, KY","Campbellsville, KY Micro Area",M2,2,G3110,1430755166.000000000000000,34174450.000000000000000,+37.3155398,-085.4430106
444,15860,15860,"Cañon City, CO","Cañon City, CO Micro Area",M2,2,G3110,3972705319.000000000000000,2235542.000000000000000,+38.4551697,-105.4249582
184,15940,15940,"Canton-Massillon, OH","Canton-Massillon, OH Metro Area",M1,1,G3110,2511970922.000000000000000,24829507.000000000000000,+40.7110505,-081.2614680
163,15980,15980,"Cape Coral-Fort Myers, FL","Cape Coral-Fort Myers, FL Metro Area",M1,1,G3110,2022803068.000000000000000,1900583561.000000000000000,+26.5632731,-081.9841817
164,16020,16020,"Cape Girardeau, MO-IL","Cape Girardeau, MO-IL Metro Area",M1,1,G3110,3708383558.000000000000000,73454289.000000000000000,+37.3259361,-089.7626388
 ,16060,16060,"Carbondale-Marion, IL","Carbondale-Marion, IL Metro Area",M1,1,G3110,3490047996.000000000000000,123601304.000000000000000,+37.6897419,-089.1051489
 ,16100,16100,"Carlsbad-Artesia, NM","Carlsbad-Artesia, NM Micro Area",M2,2,G3110,10816688007.000000000000000,56493049.000000000000000,+32.4578347,-104.3064338
 ,16140,16140,"Carroll, IA","Carroll, IA Micro Area",M2,2,G3110,1474877210.000000000000000,2145349.000000000000000,+42.0395021,-094.8676496
456,16180,16180,"Carson City, NV","Carson City, NV Metro Area",M1,1,G3110,374341372.000000000000000,32594082.000000000000000,+39.1530598,-119.7473681
 ,16220,16220,"Casper, WY","Casper, WY Metro Area",M1,1,G3110,13831928341.000000000000000,90969261.000000000000000,+42.9776447,-106.7682192
 ,16260,16260,"Cedar City, UT","Cedar City, UT Micro Area",M2,2,G3110,8537474385.000000000000000,11390956.000000000000000,+37.9093044,-113.3067405
168,16300,16300,"Cedar Rapids, IA","Cedar Rapids, IA Metro Area",M1,1,G3110,5202714116.000000000000000,29350978.000000000000000,+42.0862887,-091.6310949
122,16340,16340,"Cedartown, GA","Cedartown, GA Micro Area",M2,2,G3110,803767094.000000000000000,4673256.000000000000000,+33.9960153,-085.1883384
338,16380,16380,"Celina, OH","Celina, OH Micro Area",M2,2,G3110,1197732211.000000000000000,28431995.000000000000000,+40.5353325,-084.6320588
 ,16420,16420,"Central City, KY","Central City, KY Micro Area",M2,2,G3110,1210451479.000000000000000,31188648.000000000000000,+37.2138159,-087.1340919
476,16460,16460,"Centralia, IL","Centralia, IL Micro Area",M2,2,G3110,1482865616.000000000000000,9234118.000000000000000,+38.6482361,-088.9203624
500,16500,16500,"Centralia, WA","Centralia, WA Micro Area",M2,2,G3110,6223175362.000000000000000,86929744.000000000000000,+46.5800714,-122.3774443
548,16540,16540,"Chambersburg-Waynesboro, PA","Chambersburg-Waynesboro, PA Metro Area",M1,1,G3110,2000245527.000000000000000,1547615.000000000000000,+39.9267722,-077.7245208
 ,16580,16580,"Champaign-Urbana, IL","Champaign-Urbana, IL Metro Area",M1,1,G3110,3717388870.000000000000000,6865897.000000000000000,+40.1029885,-088.3185039
170,16620,16620,"Charleston, WV","Charleston, WV Metro Area",M1,1,G3110,6854592354.000000000000000,56066247.000000000000000,+38.3551769,-081.6203407
 ,16660,16660,"Charleston-Mattoon, IL","Charleston-Mattoon, IL Micro Area",M2,2,G3110,2212408003.000000000000000,7188080.000000000000000,+39.4231628,-088.2422121
 ,16700,16700,"Charleston-North Charleston, SC","Charleston-North Charleston, SC Metro Area",M1,1,G3110,6708569992.000000000000000,1483700810.000000000000000,+33.0175399,-080.0099468
172,16740,16740,"Charlotte-Concord-Gastonia, NC-SC","Charlotte-Concord-Gastonia, NC-SC Metro Area",M1,1,G3110,14497232415.000000000000000,301832867.000000000000000,+35.1663423,-080.7972848
 ,16820,16820,"Charlottesville, VA","Charlottesville, VA Metro Area",M1,1,G3110,4259304628.000000000000000,35681139.000000000000000,+37.9490837,-078.5932062
174,16860,16860,"Chattanooga, TN-GA","Chattanooga, TN-GA Metro Area",M1,1,G3110,5409949983.000000000000000,126699774.000000000000000,+35.0493612,-085.3611582
 ,16940,16940,"Cheyenne, WY","Cheyenne, WY Metro Area",M1,1,G3110,6956355039.000000000000000,4348083.000000000000000,+41.2928302,-104.6603950
176,16980,16980,"Chicago-Naperville-Elgin, IL-IN-WI","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",M1,1,G3110,18634398951.000000000000000,6173868295.000000000000000,+41.8235214,-087.8282967
 ,17020,17020,"Chico, CA","Chico, CA Metro Area",M1,1,G3110,4238488698.000000000000000,105260548.000000000000000,+39.6653362,-121.6032086
198,17060,17060,"Chillicothe, OH","Chillicothe, OH Micro Area",M2,2,G3110,1784931094.000000000000000,9994410.000000000000000,+39.3238949,-083.0595381
 ,10100,10100,"Aberdeen, SD","Aberdeen, SD Micro Area",M2,2,G3110,7353004128.000000000000000,111384253.000000000000000,+45.5194353,-098.7007003
 ,10140,10140,"Aberdeen, WA","Aberdeen, WA Micro Area",M2,2,G3110,4924794342.000000000000000,834310602.000000000000000,+47.1137324,-123.8267349
 ,10180,10180,"Abilene, TX","Abilene, TX Metro Area",M1,1,G3110,7105668292.000000000000000,36756436.000000000000000,+32.4520222,-099.7187428
 ,10220,10220,"Ada, OK","Ada, OK Micro Area",M2,2,G3110,1865856327.000000000000000,12574651.000000000000000,+34.7214152,-096.6917804
220,10300,10300,"Adrian, MI","Adrian, MI Micro Area",M2,2,G3110,1941526154.000000000000000,30497573.000000000000000,+41.8960225,-084.0743563
 ,10380,10380,"Aguadilla-Isabela, PR","Aguadilla-Isabela, PR Metro Area",M1,1,G3110,1222529589.000000000000000,358907268.000000000000000,+18.3569648,-067.0078951
184,10420,10420,"Akron, OH","Akron, OH Metro Area",M1,1,G3110,2331502236.000000000000000,62132648.000000000000000,+41.1466395,-081.3501104
 ,10460,10460,"Alamogordo, NM","Alamogordo, NM Micro Area",M2,2,G3110,17126455954.000000000000000,36944199.000000000000000,+32.6155988,-105.7513079
 ,10500,10500,"Albany, GA","Albany, GA Metro Area",M1,1,G3110,4120747960.000000000000000,46086555.000000000000000,+31.6446859,-084.1107184
440,10540,10540,"Albany-Lebanon, OR","Albany-Lebanon, OR Metro Area",M1,1,G3110,5929198839.000000000000000,50052279.000000000000000,+44.4888982,-122.5372084
104,10580,10580,"Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY Metro Area",M1,1,G3110,7282379774.000000000000000,172340496.000000000000000,+42.7879202,-073.9423479
172,10620,10620,"Albemarle, NC","Albemarle, NC Micro Area",M2,2,G3110,1023250040.000000000000000,25187035.000000000000000,+35.3104492,-080.2543742
 ,10660,10660,"Albert Lea, MN","Albert Lea, MN Micro Area",M2,2,G3110,1831756443.000000000000000,39305226.000000000000000,+43.6742019,-093.3502887
 ,10700,10700,"Albertville, AL","Albertville, AL Micro Area",M2,2,G3110,1465531833.000000000000000,148495463.000000000000000,+34.3095637,-086.3216681
106,10740,10740,"Albuquerque, NM","Albuquerque, NM Metro Area",M1,1,G3110,24043885295.000000000000000,31811673.000000000000000,+35.1234965,-106.4583918
388,10760,10760,"Alexander City, AL","Alexander City, AL Micro Area",M2,2,G3110,3541644968.000000000000000,168782127.000000000000000,+32.9004862,-086.0029320
 ,10780,10780,"Alexandria, LA","Alexandria, LA Metro Area",M1,1,G3110,5085705268.000000000000000,162470402.000000000000000,+31.3253478,-092.5468034
 ,10820,10820,"Alexandria, MN","Alexandria, MN Micro Area",M2,2,G3110,1649659329.000000000000000,215526674.000000000000000,+45.9368351,-095.4621550
204,10860,10860,"Alice, TX","Alice, TX Micro Area",M2,2,G3110,6885880045.000000000000000,14201639.000000000000000,+27.6977432,-098.3908809
 ,10900,10900,"Allentown-Bethlehem-Easton, PA-NJ","Allentown-Bethlehem-Easton, PA-NJ Metro Area",M1,1,G3110,3763211244.000000000000000,58185339.000000000000000,+40.7893392,-075.3981580
394,10940,10940,"Alma, MI","Alma, MI Micro Area",M2,2,G3110,1472098896.000000000000000,8369164.000000000000000,+43.2923259,-084.6046900
 ,10980,10980,"Alpena, MI","Alpena, MI Micro Area",M2,2,G3110,1481205162.000000000000000,2908633230.000000000000000,+44.8949540,-083.4265739
107,11020,11020,"Altoona, PA","Altoona, PA Metro Area",M1,1,G3110,1360458062.000000000000000,3294803.000000000000000,+40.4986828,-078.3095970
 ,11060,11060,"Altus, OK","Altus, OK Micro Area",M2,2,G3110,2078860507.000000000000000,4114418.000000000000000,+34.5940059,-099.4122347
108,11100,11100,"Amarillo, TX","Amarillo, TX Metro Area",M1,1,G3110,13340979936.000000000000000,84943238.000000000000000,+35.2479988,-101.9086699
 ,11140,11140,"Americus, GA","Americus, GA Micro Area",M2,2,G3110,1682937488.000000000000000,27581090.000000000000000,+32.0983551,-084.2243044
218,11180,11180,"Ames, IA","Ames, IA Metro Area",M1,1,G3110,2960438349.000000000000000,10992287.000000000000000,+42.0361281,-093.6980079
104,11220,11220,"Amsterdam, NY","Amsterdam, NY Micro Area",M2,2,G3110,1044051408.000000000000000,18614750.000000000000000,+42.9008912,-074.4353575
 ,11260,11260,"Anchorage, AK","Anchorage, AK Metro Area",M1,1,G3110,68411338463.000000000000000,2067935177.000000000000000,+62.2127844,-149.6782218
 ,11380,11380,"Andrews, TX","Andrews, TX Micro Area",M2,2,G3110,3886850259.000000000000000,957039.000000000000000,+32.3122581,-102.6402058
258,11420,11420,"Angola, IN","Angola, IN Micro Area",M2,2,G3110,799729203.000000000000000,35454787.000000000000000,+41.6434670,-085.0024051
220,11460,11460,"Ann Arbor, MI","Ann Arbor, MI Metro Area",M1,1,G3110,1828539717.000000000000000,42523319.000000000000000,+42.2522168,-083.8434233
 ,11500,11500,"Anniston-Oxford, AL","Anniston-Oxford, AL Metro Area",M1,1,G3110,1569246127.000000000000000,16536293.000000000000000,+33.7705162,-085.8279089
118,11540,11540,"Appleton, WI","Appleton, WI Metro Area",M1,1,G3110,2475529498.000000000000000,222422628.000000000000000,+44.2906032,-088.3723255
412,11580,11580,"Arcadia, FL","Arcadia, FL Micro Area",M2,2,G3110,1649031791.000000000000000,6243548.000000000000000,+27.1905809,-081.8062531
 ,11620,11620,"Ardmore, OK","Ardmore, OK Micro Area",M2,2,G3110,3460529028.000000000000000,77486155.000000000000000,+34.1258361,-097.2639049
490,11640,11640,"Arecibo, PR","Arecibo, PR Metro Area",M1,1,G3110,613186622.000000000000000,231848340.000000000000000,+18.4392239,-066.7599813
 ,11660,11660,"Arkadelphia, AR","Arkadelphia, AR Micro Area",M2,2,G3110,2242855171.000000000000000,43965580.000000000000000,+34.0533162,-093.1762085
120,11700,11700,"Asheville, NC","Asheville, NC Metro Area",M1,1,G3110,5264465452.000000000000000,21752837.000000000000000,+35.5956693,-082.6816145
360,11740,11740,"Ashland, OH","Ashland, OH Micro Area",M2,2,G3110,1095530837.000000000000000,9966470.000000000000000,+40.8432730,-082.2701271
184,11780,11780,"Ashtabula, OH","Ashtabula, OH Micro Area",M2,2,G3110,1818345034.000000000000000,1724513202.000000000000000,+41.9066369,-080.7455916
 ,11820,11820,"Astoria, OR","Astoria, OR Micro Area",M2,2,G3110,2144846710.000000000000000,661654767.000000000000000,+46.0245094,-123.7050366
312,11860,11860,"Atchison, KS","Atchison, KS Micro Area",M2,2,G3110,1116736555.000000000000000,6851102.000000000000000,+39.5325441,-095.3133975
 ,11900,11900,"Athens, OH","Athens, OH Micro Area",M2,2,G3110,1304431980.000000000000000,12361693.000000000000000,+39.3327548,-082.0458853
174,11940,11940,"Athens, TN","Athens, TN Micro Area",M2,2,G3110,1113997311.000000000000000,5340568.000000000000000,+35.4244722,-084.6199488
206,11980,11980,"Athens, TX","Athens, TX Micro Area",M2,2,G3110,2263082389.000000000000000,193353703.000000000000000,+32.2116334,-095.8534183
 ,49260,49260,"Woodward, OK","Woodward, OK Micro Area",M2,2,G3110,6408311170.000000000000000,10645808.000000000000000,+36.3312927,-099.5006858
184,49300,49300,"Wooster, OH","Wooster, OH Micro Area",M2,2,G3110,1436897054.000000000000000,5040384.000000000000000,+40.8296612,-081.8871942
148,49340,49340,"Worcester, MA-CT","Worcester, MA-CT Metro Area",M1,1,G3110,5241105209.000000000000000,198845076.000000000000000,+42.2173112,-071.9255354
 ,49380,49380,"Worthington, MN","Worthington, MN Micro Area",M2,2,G3110,1852143783.000000000000000,19253011.000000000000000,+43.6776863,-095.7631323
 ,49420,49420,"Yakima, WA","Yakima, WA Metro Area",M1,1,G3110,11122734368.000000000000000,41188783.000000000000000,+46.4565581,-120.7401446
 ,49460,49460,"Yankton, SD","Yankton, SD Micro Area",M2,2,G3110,1349873576.000000000000000,28676615.000000000000000,+43.0066030,-097.3883614
434,49500,49500,"Yauco, PR","Yauco, PR Metro Area",M1,1,G3110,496370944.000000000000000,228599868.000000000000000,+18.0067240,-066.8317330
276,49620,49620,"York-Hanover, PA","York-Hanover, PA Metro Area",M1,1,G3110,2342295972.000000000000000,16503210.000000000000000,+39.9217514,-076.7288887
566,49660,49660,"Youngstown-Warren-Boardman, OH-PA","Youngstown-Warren-Boardman, OH-PA Metro Area",M1,1,G3110,4408441873.000000000000000,109322747.000000000000000,+41.2364600,-080.5617836
472,49700,49700,"Yuba City, CA","Yuba City, CA Metro Area",M1,1,G3110,3197863368.000000000000000,45895634.000000000000000,+39.1609692,-121.5118327
 ,49740,49740,"Yuma, AZ","Yuma, AZ Metro Area",M1,1,G3110,14280774789.000000000000000,13253159.000000000000000,+32.7739424,-113.9109050
198,49780,49780,"Zanesville, OH","Zanesville, OH Micro Area",M2,2,G3110,1721165826.000000000000000,20823924.000000000000000,+39.9660457,-081.9435064
 ,49820,49820,"Zapata, TX","Zapata, TX Micro Area",M2,2,G3110,2585876042.000000000000000,154371160.000000000000000,+26.9969806,-099.1826027
104,24020,24020,"Glens Falls, NY","Glens Falls, NY Metro Area",M1,1,G3110,4398796004.000000000000000,204881933.000000000000000,+43.4404503,-073.6367573
233,24060,24060,"Glenwood Springs, CO","Glenwood Springs, CO Micro Area",M2,2,G3110,10147912172.000000000000000,28169202.000000000000000,+39.5095415,-107.6673111
104,24100,24100,"Gloversville, NY","Gloversville, NY Micro Area",M2,2,G3110,1283234687.000000000000000,96916403.000000000000000,+43.1156093,-074.4236782
 ,24140,24140,"Goldsboro, NC","Goldsboro, NC Metro Area",M1,1,G3110,1434651139.000000000000000,9842326.000000000000000,+35.3541896,-078.0086695
206,24180,24180,"Granbury, TX","Granbury, TX Micro Area",M2,2,G3110,1089582268.000000000000000,41775455.000000000000000,+32.4301490,-097.8316766
 ,24220,24220,"Grand Forks, ND-MN","Grand Forks, ND-MN Metro Area",M1,1,G3110,8824671449.000000000000000,77658176.000000000000000,+47.8359290,-096.8426809
 ,24260,24260,"Grand Island, NE","Grand Island, NE Metro Area",M1,1,G3110,4151718094.000000000000000,55758629.000000000000000,+41.0839258,-098.3742176
 ,24300,24300,"Grand Junction, CO","Grand Junction, CO Metro Area",M1,1,G3110,8621348079.000000000000000,31991710.000000000000000,+39.0195240,-108.4605707
 ,24330,24330,"Grand Rapids, MN","Grand Rapids, MN Micro Area",M2,2,G3110,6909414900.000000000000000,673890473.000000000000000,+47.4908166,-093.6111022
